"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:18:15.4154227","Explorer.EXE","6308","IRP_MJ_CLOSE","D:\Upscayl\Upscayl.exe","SUCCESS",""
"21:18:15.4154249","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS",""
"21:18:15.4154275","Explorer.EXE","6308","RegQueryKey","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4154390","Explorer.EXE","6308","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4154550","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","NAME NOT FOUND","Desired Access: Maximum Allowed"
"21:18:15.4154574","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-4279415155-462254920-2085994121-1001\fdeploy","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4154833","Explorer.EXE","6308","RegQueryValue","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties\System.ItemType","NAME NOT FOUND","Length: 16"
"21:18:15.4154872","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"21:18:15.4154896","Explorer.EXE","6308","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4155030","Explorer.EXE","6308","CreateFile","C:\Windows\System32\imageres.dll","SUCCESS","Desired Access: Generic Read/Execute, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"21:18:15.4155075","Procmon64.exe","10216","CreateFileMapping","C:\Windows\System32\aadWamExtension.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_READONLY"
"21:18:15.4155114","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS","Desired Access: Write"
"21:18:15.4155178","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4155233","Explorer.EXE","6308","RegCloseKey","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","SUCCESS",""
"21:18:15.4155283","Procmon64.exe","10216","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\aadWamExtension.dll","SUCCESS",""
"21:18:15.4155361","Explorer.EXE","6308","CloseFile","D:\Upscayl\Upscayl.exe","SUCCESS",""
"21:18:15.4155374","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4155467","Procmon64.exe","10216","CreateFileMapping","C:\Windows\System32\aadWamExtension.dll","SUCCESS","SyncType: SyncTypeOther"
"21:18:15.4155522","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"21:18:15.4155564","Explorer.EXE","6308","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS",""
"21:18:15.4155615","Explorer.EXE","6308","IRP_MJ_CLOSE","D:\Upscayl\Upscayl.exe","SUCCESS",""
"21:18:15.4155629","Procmon64.exe","10216","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\aadWamExtension.dll","SUCCESS",""
